Job_Id,Creation_Date,Job_Title,Business_Unit,Country,City_or_Town,Institution,Qualifications_Type,Qualification_Name,Other_Qualifications,Professional_Qualification,General_Work_Experience,current_Salay,Expected_Salary,General_Availability,Gender,Current_Employer,Current_Title,Job_Experience_Level,Type_of_Employment,Eligibility_Namibia,Academic_Average,Campus_Hire_or_Experienced_Hire,Tax_Company_Experience,Interview_Score
93-735-2960,05/08/2022 8:29,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Chinhoyi,Arrupe Jesuit University,Bachelors Degree,Accounting And Finance,NA,none,11 - 13 years,73775,54808,Available immediately,Female,National Oil Company Of Zimbabwe (Private) Limited,Audit Intern,Entry Level,Contract,Yes,60-70%,Campus Hire,none,3.68
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),South Africa,Johannesburg,University of Namibia (UNAM),Honours Degree/Honours equivalent/Postgraduate Diploma,None,NA,none,7-10 years,67160,54082,Available immediately,Female,Aspen Pharma Group,Sap S4hana Tester Software Quality Assurance Analyst,Entry Level,Contract,Yes,50-60%,Campus Hire,none,5.25
93-735-2960,28/05/2022 22:01,ACCA Audit Trainee,Audit (Africa),South Africa,Johannesburg,University of Namibia (UNAM),Matric Certificate,Accounting And Finance,none,None,0 - 1 years,64493,68190,Available at 2-weeks’ notice,Male,Aspen Pharma Group,Sap S4hana Tester Software Quality Assurance Analyst,Entry Level,Full-time,Yes,80-89%,Campus Hire,none,0
93-735-2960,12/05/2022 8:55,ACCA Audit Trainee,Audit (Africa),Namibia,Okahandja,University of Namibia (UNAM),Diploma,Accounting And Auditing,Currently busy with Post graduate diploma in Accounting,none,2 - 3 years,64203,70914,Available at 1-weeks’ notice,Female,Landsberg Drilling & Blasting Cc,Junior Accountant,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,5.74
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Okahandja,University of Namibia (UNAM),Bachelors Degree,None,NA,none,4 - 5 years,62884,66411,Available immediately,Male,Landsberg Drilling & Blasting Cc,Junior Accountant,Entry Level,Contract,Yes,60-70%,Campus Hire,none,3.96
93-735-2960,18/05/2022 13:58,ACCA Audit Trainee,Audit (Africa),South Africa,Nelspruit,Association of chartered Certified Accountants (ACCA),Bachelors Degree,Accounting And Finance,ACCA affiliate,None,Greater than 13 years,77379,77798,Available at 2-weeks’ notice,Female,People'S Own Savings Bank (Posb),Loans Officer,Entry Level,Full-time,Yes,80-89%,Campus Hire,none,0
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),South Africa,Nelspruit,Association of chartered Certified Accountants (ACCA),Bachelors Degree,None,NA,none,2 - 3 years,54381,60676,Available immediately,Female,People'S Own Savings Bank (Posb),Loans Officer,Entry Level,Contract,Yes,60-70%,Campus Hire,none,3.95
93-735-2960,11/08/2022 7:39,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,University of Namibia (UNAM),Bachelors Degree,Accounting Internal Accounting Audit And Law,Accounting Internal Auditing Audit  Law,none,3 - 4 years,60001,76771,Available immediately,Female,none,none,Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.41
93-735-2960,03/09/2022 12:12,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Harare,Namibia University of Science and Technology (NUST),Certificate,None,NA,none,4 - 5 years,54422,59482,Available immediately,Female,none,none,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,5.13
93-735-2960,29/08/2019 16:30,ACCA Audit Trainee,Audit (Africa),Nigeria,Lagos,The International University of Management,Certificate,None,NA,none,0 - 1 years,57496,61838,Available immediately,Male,Mazars Nigeria,Semi Senior - Tax And Regulatory Service,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,5.47
93-735-2960,15/08/2022 11:00,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Harare,University of Namibia (UNAM),Bachelors Degree,Accounting And Finance,NA,none,7-10 years,60936,78174,Available at 1-weeks’ notice,Female,Office Of The Auditor General Zimbabwe,Auditor,Entry Level,Contract,Yes,70-80%,Campus Hire,none,3.83
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Harare,University of Namibia (UNAM),Higher Diploma,None,NA,none,1 - 2 years,74818,68125,Available immediately,Male,Office Of The Auditor - General Zimbabwe (Supreme Audit Institution),Auditor,Entry Level,Contract,Yes,50-60%,Campus Hire,none,4.72
93-735-2960,11/05/2022 14:28,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Harare,Namibia University of Science and Technology (NUST),Honours Degree/Honours equivalent/Postgraduate Diploma,Accounting And Finance,ACCA QUALIFICATION,None,2 - 3 years,62803,78858,Must honour 30 day notice period (or longer),Female,Office Of The Auditor - General Zimbabwe (Supreme Audit Institution),Auditor,Entry Level,Full-time,Yes,50-60%,Campus Hire,none,3.17
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The International University of Management,Diploma,None,NA,none,4 - 5 years,72636,63506,Available immediately,Male,International Training College Lingua,Administrator,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
93-735-2960,13/05/2022 8:44,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The International University of Management,Diploma,Accounting And Finance,none,none,None,62933,75079,Available immediately,Female,International Training College Lingua,Administrator,Entry Level,Full-time,Yes,50-60%,Campus Hire,none,0
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,University of Namibia (UNAM),Bachelors Degree,None,NA,none,Greater than 13 years,59580,70595,Available immediately,Male,Ark Accounting & Training Solutions,Trainee Accountant,Entry Level,Contract,Yes,70-80%,Campus Hire,none,4.47
93-735-2960,20/05/2022 10:13,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,University of Namibia (UNAM),Masters Degree,Accounting And Finance,none,None,4 - 5 years,67642,60402,Available immediately,Female,Ark Accounting & Training Solutions,Trainee Accountant,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,0
93-735-2960,05/08/2022 9:32,ACCA Audit Trainee,Audit (Africa),South Africa,Centurion,Namibia University of Science and Technology (NUST),Bachelors Degree,Accounting And Finance,IIA,none,7-10 years,60453,56908,"Available at 1-weeks’ notice, Available at 2-weeks’ notice, Must honour 30 day notice period (or longer)",Female,none,none,Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.27
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Harare,The International University of Management,Honours Degree/Honours equivalent/Postgraduate Diploma,Post Graduate Diploma In Theory Of Accounting,NA,none,7-10 years,76857,71991,Available immediately,Male,Investment Through Action Initiative/Itai,Volunteer Coordinator,Entry Level,Contract,Yes,70-80%,Campus Hire,none,4.96
93-735-2960,11/05/2022 13:39,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Harare,Namibia University of Science and Technology (NUST),Masters Degree,Accounting And Finance,none,None,5 - 7 years,58067,75243,Available at 1-weeks’ notice,Female,Investment Through Action Initiative/Itai,Volunteer Coordinator,Entry Level,Full-time,Yes,50-60%,Campus Hire,none,0
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The International University of Management,Certificate,Advanced Financial Accounting Advanced Auditing Advanced Taxation Advanced Managerial Accounting And Finance Maf,NA,none,7-10 years,58421,70685,Available immediately,Male,Woermann & Brock,Accounts Payable Clerk,Entry Level,Contract,Yes,70-80%,Campus Hire,none,0
